순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
88,다쿠아즈공장,5.0,14건,6,부산 부산진구 전포대로255번길 19 1층
89,부산역1층 펀키도넛,5.0,2건,8,부산 동구 중앙대로 206 1층
90,까까살롱,0.0,0건,2,부산 동구 범내로 28-2 1층
91,뚜레쥬르 대청로점,5.0,5건,1,부산 중구 대청로 71 1층
92,파리바게뜨 서면롯데점,5.0,1건,5,부산 부산진구 가야대로 775
93,파리바게뜨 부산남포점,4.6,5건,2,부산 중구 구덕로 38
94,정항우케익진시장점,0.0,0건,1,부산 동구 진시장로 19-5
95,파리바게뜨 부산범내골점,4.0,4건,5,부산 부산진구 중앙대로 626 동일타워스위트오피스텔 1층
96,정항우케익 남포점,4.9,7건,10,부산 중구 구덕로 68 1층
97,과자뭉치,5.0,2건,6,부산 중구 흑교로 26
98,오는정케이크,3.0,2건,39,부산 중구 중구로 64 1층
99,서무결베이커리카페,4.5,8건,1,부산 동구 중앙대로 401
100,부산고등어빵,3.5,4건,41,부산 서구 충무대로82번길 17
101,시민제과,4.3,3건,9,부산 서구 구덕로 116
102,홍미당 부산광안리점,2.5,8건,18,부산 수영구 광안해변로 225
103,다인명가 경주빵&찰보리빵,0.0,0건,0,부산 동구 중앙대로 206 3층
104,온다미,,(30),40,부산 부산진구 전포대로 264 2층
105,구자윤과자점 교대점,4.4,16건,141,부산 연제구 세병로 29 1층
106,모구모구베이커리 인 전포,4.6,8건,77,부산 부산진구 서전로58번길 104 1층 101호
107,우리동네빵집,4.0,3건,0,부산 동구 망양로 832
108,이대명과 부평점,1.0,3건,3,부산 중구 광복로 2
109,뚜레쥬르 사랑모아범천점,5.0,1건,4,부산 부산진구 중앙대로 632 사랑모아빌딩 1층
110,맛나찹쌀꽈배기 초량점,0.0,0건,1,부산 동구 중앙대로286번길 9
111,파리바게뜨 부산전포점,4.0,3건,2,부산 부산진구 서전로58번길 69 1층
112,파리바게뜨 동대신점,4.0,8건,2,부산 서구 구덕로 331-1
113,더브레드,1.0,1건,2,부산 동구 중앙대로371번길 12
114,구월의마카롱,4.4,28건,85,부산 남구 수영로334번길 9 1층
115,구자윤과자점,2.8,26건,23,부산 수영구 수영로705번길 15 1층
116,비엔씨박스앤컵,0.0,0건,0,부산 동구 중앙대로 206 한국철도공사 부산지역본부 1층
117,고래당,4.9,9건,55,부산 수영구 광안로41번길 12
118,파리바게뜨 부산역사점,1.0,4건,5,부산 동구 중앙대로 206
119,파리바게뜨 부산하버시티점,5.0,3건,1,부산 동구 범일로 21 상가동 1층 104호
120,씰베이커리카페,4.3,4건,52,부산 부산진구 동성로 41
